index,angle,houghAngle,houghConfidence,projectionAngle,projectionConfidence,freqHoughAngle,freqHoughConfidence
5,-8.25,-8.00,0.19,-8.00,0.86,-8.00,0.03
5,-8.00,-8.00,0.79,-8.00,0.86,-8.00,0.05
5,-7.75,-8.00,0.06,-8.00,0.84,-8.00,0.05
5,-7.50,-7.00,0.05,-7.00,0.83,-8.00,0.05
5,-7.25,-7.00,0.27,-7.00,0.86,-7.00,0.03
5,-7.00,-7.00,0.22,-7.00,0.86,-7.00,0.06
5,-6.75,-7.00,0.08,-7.00,0.84,-7.00,0.04
5,-6.50,-6.00,0.04,-6.00,0.83,-6.00,0.02
5,-6.25,-6.00,0.11,-6.00,0.86,-6.00,0.05
5,-6.00,-6.00,0.71,-6.00,0.87,-6.00,0.10
5,-5.75,-6.00,0.06,-6.00,0.84,-6.00,0.04
5,-5.50,-5.00,0.05,-5.00,0.83,-6.00,0.04
5,-5.25,-5.00,0.15,-5.00,0.86,-5.00,0.04
5,-5.00,-5.00,0.67,-5.00,0.87,-5.00,0.06
5,-4.75,-5.00,0.08,-5.00,0.84,-5.00,0.05
5,-4.50,-4.00,0.03,-4.00,0.83,-4.00,0.05
5,-4.25,-4.00,0.19,-4.00,0.86,-4.00,0.04
5,-4.00,-4.00,0.28,-4.00,0.87,-4.00,0.04
5,-3.75,-4.00,0.09,-4.00,0.84,-4.00,0.03
5,-3.50,-4.00,0.04,-3.00,0.83,-3.00,0.04
5,-3.25,-3.00,0.18,-3.00,0.86,-3.00,0.03
5,-3.00,-3.00,0.34,-3.00,0.88,-3.00,0.04
5,-2.75,-3.00,0.06,-3.00,0.84,-3.00,0.05
5,-2.50,-2.00,0.07,-2.00,0.84,-2.00,0.04
5,-2.25,-2.00,0.21,-2.00,0.87,-2.00,0.04
5,-2.00,-2.00,0.69,-2.00,0.87,-2.00,0.04
5,-1.75,-2.00,0.08,-2.00,0.85,-2.00,0.06
5,-1.50,-1.00,0.03,-1.00,0.84,-1.00,0.03
5,-1.25,-1.00,0.24,-1.00,0.87,-1.00,0.04
5,-1.00,-1.00,0.55,-1.00,0.88,-1.00,0.05
5,-0.75,-1.00,0.07,-1.00,0.86,-1.00,0.04
5,-0.50,0.00,0.07,-0.00,0.87,-1.00,0.04
5,-0.25,0.00,0.21,-1.00,0.81,0.00,0.04
5,0.00,0.00,0.88,-0.00,0.93,0.00,0.13
5,0.25,0.00,0.12,1.00,0.82,0.00,0.04
5,0.50,1.00,0.04,-0.00,0.85,0.00,0.05
5,0.75,1.00,0.27,1.00,0.88,1.00,0.05
5,1.00,1.00,0.41,1.00,0.89,1.00,0.04
5,1.25,1.00,0.11,1.00,0.85,1.00,0.05
5,1.50,2.00,0.04,2.00,0.83,1.00,0.03
5,1.75,2.00,0.23,2.00,0.87,2.00,0.05
5,2.00,2.00,0.68,2.00,0.88,2.00,0.05
5,2.25,2.00,0.08,2.00,0.85,2.00,0.05
5,2.50,3.00,0.04,3.00,0.83,2.00,0.04
5,2.75,3.00,0.22,3.00,0.86,3.00,0.04
5,3.00,3.00,0.79,3.00,0.87,3.00,0.04
5,3.25,3.00,0.06,3.00,0.84,3.00,0.04
5,3.50,4.00,0.05,4.00,0.83,3.00,0.03
5,3.75,4.00,0.18,4.00,0.86,4.00,0.04
5,4.00,4.00,0.64,4.00,0.87,4.00,0.07
5,4.25,4.00,0.08,4.00,0.84,4.00,0.05
5,4.50,5.00,0.04,5.00,0.83,4.00,0.04
5,4.75,5.00,0.25,5.00,0.86,5.00,0.03
5,5.00,5.00,0.63,5.00,0.87,5.00,0.06
5,5.25,5.00,0.06,5.00,0.84,5.00,0.04
5,5.50,6.00,0.04,6.00,0.83,5.00,0.04
5,5.75,6.00,0.13,6.00,0.86,6.00,0.05
5,6.00,6.00,0.82,6.00,0.86,6.00,0.12
5,6.25,6.00,0.06,6.00,0.84,6.00,0.05
5,6.50,7.00,0.03,7.00,0.83,6.00,0.06
5,6.75,7.00,0.14,7.00,0.86,7.00,0.03
5,7.00,7.00,0.43,7.00,0.86,7.00,0.06
5,7.25,7.00,0.04,7.00,0.84,7.00,0.06
5,7.50,8.00,0.05,8.00,0.83,8.00,0.04
5,7.75,8.00,0.14,8.00,0.85,8.00,0.05
5,8.00,8.00,0.38,8.00,0.86,8.00,0.07
5,8.25,8.00,0.08,8.00,0.84,8.00,0.06
5,8.50,9.00,0.03,9.00,0.83,8.00,0.04
5,8.75,9.00,0.15,9.00,0.86,9.00,0.04
5,9.00,9.00,0.36,9.00,0.86,9.00,0.10
5,9.25,9.00,0.05,9.00,0.83,9.00,0.05
5,9.50,10.00,0.03,10.00,0.83,9.00,0.03
5,9.75,10.00,0.14,10.00,0.86,10.00,0.05
5,10.00,10.00,0.54,10.00,0.87,10.00,0.14
6,-10.00,-10.00,0.17,-10.00,0.88,-10.00,0.03
6,-9.75,-10.00,0.03,-10.00,0.84,-10.00,0.03
6,-9.50,-10.00,0.03,-9.00,0.84,-9.00,0.02
6,-9.25,-9.00,0.43,-9.00,0.87,-9.00,0.04
6,-9.00,-9.00,0.42,-9.00,0.87,-9.00,0.03
6,-8.75,-9.00,0.03,-9.00,0.84,-9.00,0.02
6,-8.50,-9.00,0.03,-8.00,0.83,-8.00,0.03
6,-8.25,-8.00,0.27,-8.00,0.87,-8.00,0.03
6,-8.00,-8.00,0.48,-8.00,0.87,-8.00,0.02
6,-7.75,-8.00,0.03,-8.00,0.83,-8.00,0.02
6,-7.50,-8.00,0.03,-7.00,0.83,-7.00,0.02
6,-7.25,-7.00,0.33,-7.00,0.87,-7.00,0.04
6,-7.00,-7.00,0.15,-7.00,0.87,-7.00,0.04
6,-6.75,-7.00,0.03,-7.00,0.84,-7.00,0.02
6,-6.50,-7.00,0.03,-6.00,0.83,-6.00,0.02
6,-6.25,-6.00,0.34,-6.00,0.87,-6.00,0.04
6,-6.00,-6.00,0.30,-6.00,0.87,-6.00,0.04
6,-5.75,-6.00,0.03,-6.00,0.84,-6.00,0.02
6,-5.50,-6.00,0.03,-5.00,0.83,-5.00,0.02
6,-5.25,-5.00,0.19,-5.00,0.87,-5.00,0.03
6,-5.00,-5.00,0.20,-5.00,0.87,-5.00,0.03
6,-4.75,-5.00,0.03,-5.00,0.84,-5.00,0.02
6,-4.50,-5.00,0.03,-4.00,0.84,-4.00,0.02
6,-4.25,-4.00,0.48,-4.00,0.87,-4.00,0.04
