imageNr,imageAngle,thetaHough,confidenceHough,thetaFourier,confidenceFourier,thetaProj,confidenceProj,
2,-3.400000,-3.000006,0.997952,-4.000000,0.986912,-3.000000,0.970860,
2,-3.500000,-3.999999,0.994953,-4.000000,0.993046,-3.000000,0.970773,
2,-3.600000,-3.999999,0.997814,-5.000000,0.988092,-4.000000,0.969630,
2,-3.700000,-3.999999,0.998995,-5.000000,0.978960,-4.000000,0.973667,
2,-3.800000,-3.999999,1.000000,-5.000000,0.979159,-4.000000,0.975116,
2,-3.900000,-3.999999,1.000000,-5.000000,0.979283,-4.000000,0.977739,
2,-4.000000,-3.999999,1.000000,-3.000008,0.995833,-4.000000,0.980068,
2,-4.100000,-3.999999,1.000000,-3.000008,0.990689,-4.000000,0.981262,
2,-4.200000,-3.999999,1.000000,-3.000008,0.993784,-4.000000,0.973465,
2,-4.300000,-3.999999,0.999079,-3.000008,0.994753,-4.000000,0.970987,
2,-4.400000,-3.999999,0.998125,-3.000008,0.991042,-4.000000,0.969063,
2,-4.500000,-3.999999,0.997156,-5.000000,0.994662,-4.000000,0.966588,
2,-4.600000,-5.000002,0.997879,-5.000000,0.996224,-5.000000,0.966698,
2,-4.700000,-5.000002,0.999262,-5.000000,0.996494,-5.000000,0.970438,
2,-4.800000,-5.000002,1.000000,-5.000000,0.999699,-5.000000,0.975311,
2,-4.900000,-5.000002,1.000000,-5.000000,0.999702,-5.000000,0.980913,
2,-5.000000,-5.000002,1.000000,-5.000000,0.999629,-5.000000,0.978130,
3,5.000000,4.999998,1.000000,5.000000,0.987984,5.000000,0.980138,
3,4.900000,4.999998,1.000000,5.000000,0.986003,5.000000,0.979239,
3,4.800000,4.999998,1.000000,5.000000,0.982458,5.000000,0.976460,
3,4.700000,4.999998,0.998863,5.000000,0.964524,5.000000,0.968178,
3,4.600000,4.999998,0.997807,5.000000,0.967082,5.000000,0.964411,
3,4.500000,4.999998,0.992004,4.000008,0.993596,4.000000,0.961490,
3,4.400000,4.000004,0.998014,4.000008,0.989703,4.000000,0.967639,
3,4.300000,4.000004,0.999216,4.000008,0.982801,4.000000,0.971641,
3,4.200000,4.000004,1.000000,4.000008,0.986197,4.000000,0.976760,
3,4.100000,4.000004,1.000000,4.000008,0.975582,4.000000,0.980205,
3,4.000000,4.000004,1.000000,5.000000,0.968988,4.000000,0.980021,
3,3.900000,4.000004,1.000000,3.000000,0.984173,4.000000,0.980101,
3,3.800000,4.000004,1.000000,4.000008,0.973414,4.000000,0.972590,
3,3.700000,4.000004,0.998761,4.000008,0.975713,4.000000,0.971222,
3,3.600000,4.000004,0.997182,4.000008,0.994230,4.000000,0.970652,
3,3.500000,4.000004,0.994986,4.000008,0.994549,3.000000,0.968976,
3,3.400000,3.000001,0.997646,4.000008,0.994666,3.000000,0.967873,
3,3.300000,3.000001,0.998982,4.000008,0.995278,3.000000,0.971557,
3,3.200000,3.000001,1.000000,3.000000,0.998123,3.000000,0.975761,
3,3.100000,3.000001,1.000000,3.000000,0.999469,3.000000,0.982968,
3,3.000000,3.000001,1.000000,4.000008,0.990006,3.000000,0.984523,
3,2.900000,3.000001,1.000000,3.000000,0.998389,3.000000,0.984230,
3,2.800000,3.000001,1.000000,3.000000,0.992101,3.000000,0.978162,
3,2.700000,3.000001,0.998861,3.000000,0.987531,3.000000,0.975992,
3,2.600000,3.000001,0.997902,2.000000,0.993953,3.000000,0.970767,
3,2.500000,3.000001,0.991631,2.000000,0.992834,2.000000,0.967768,
3,2.400000,1.999999,0.997876,2.000000,0.991260,2.000000,0.971505,
3,2.300000,1.999999,0.999088,2.000000,0.988985,2.000000,0.974178,
3,2.200000,1.999999,1.000000,3.000000,0.983911,2.000000,0.979244,
3,2.100000,1.999999,1.000000,2.000000,0.989703,2.000000,0.979554,
3,2.000000,1.999999,1.000000,2.000000,0.993318,2.000000,0.986979,
3,1.900000,1.999999,1.000000,2.000000,0.990641,2.000000,0.983274,
3,1.800000,1.999999,1.000000,2.000000,0.994585,2.000000,0.979988,
3,1.700000,1.999999,0.999330,2.000000,0.995128,2.000000,0.976997,
3,1.600000,1.999999,0.997878,2.000000,0.996402,2.000000,0.973257,
3,1.500000,1.999999,0.990138,2.000000,0.996306,1.000000,0.972341,
