index,angle,houghAngle,projectionAngle,freqHoughAngle
5,1.75,2.00,2.00,2.00
5,2.00,2.00,2.00,2.00
5,2.25,2.00,2.00,2.00
5,2.50,3.00,3.00,2.00
5,2.75,3.00,3.00,3.00
5,3.00,3.00,3.00,3.00
5,3.25,3.00,3.00,3.00
5,3.50,4.00,4.00,3.00
5,3.75,4.00,4.00,4.00
5,4.00,4.00,4.00,4.00
5,4.25,4.00,4.00,4.00
5,4.50,5.00,5.00,4.00
5,4.75,5.00,5.00,5.00
5,5.00,5.00,5.00,5.00
5,5.25,5.00,5.00,5.00
5,5.50,6.00,6.00,5.00
5,5.75,6.00,6.00,6.00
5,6.00,6.00,6.00,6.00
5,6.25,6.00,6.00,6.00
5,6.50,7.00,7.00,6.00
5,6.75,7.00,7.00,7.00
5,7.00,7.00,7.00,7.00
5,7.25,7.00,7.00,7.00
5,7.50,8.00,8.00,8.00
5,7.75,8.00,8.00,8.00
5,8.00,8.00,8.00,8.00
5,8.25,8.00,8.00,8.00
5,8.50,9.00,9.00,8.00
5,8.75,9.00,9.00,9.00
5,9.00,9.00,9.00,9.00
5,9.25,9.00,9.00,9.00
5,9.50,10.00,10.00,9.00
5,9.75,10.00,10.00,10.00
5,10.00,10.00,10.00,10.00
6,-10.00,-10.00,-10.00,-10.00
6,-9.75,-10.00,-10.00,-10.00
6,-9.50,-10.00,-9.00,-9.00
6,-9.25,-9.00,-9.00,-9.00
6,-9.00,-9.00,-9.00,-9.00
6,-8.75,-9.00,-9.00,-9.00
6,-8.50,-9.00,-8.00,-8.00
6,-8.25,-8.00,-8.00,-8.00
6,-8.00,-8.00,-8.00,-8.00
6,-7.75,-8.00,-8.00,-8.00
6,-7.50,-8.00,-7.00,-7.00
6,-7.25,-7.00,-7.00,-7.00
6,-7.00,-7.00,-7.00,-7.00
6,-6.75,-7.00,-7.00,-7.00
6,-6.50,-7.00,-6.00,-6.00
6,-6.25,-6.00,-6.00,-6.00
6,-6.00,-6.00,-6.00,-6.00
6,-5.75,-6.00,-6.00,-6.00
6,-5.50,-6.00,-5.00,-5.00
6,-5.25,-5.00,-5.00,-5.00
6,-5.00,-5.00,-5.00,-5.00
6,-4.75,-5.00,-5.00,-5.00
6,-4.50,-5.00,-4.00,-4.00
6,-4.25,-4.00,-4.00,-4.00
6,-4.00,-4.00,-4.00,-4.00
6,-3.75,-4.00,-4.00,-4.00
6,-3.50,-4.00,-3.00,-3.00
6,-3.25,-3.00,-3.00,-3.00
6,-3.00,-3.00,-3.00,-3.00
6,-2.75,-3.00,-3.00,-3.00
6,-2.50,-3.00,-2.00,-2.00
6,-2.25,-2.00,-2.00,-2.00
6,-2.00,-2.00,-2.00,-2.00
